Content,Date,feedback_text
Shopping here is a nightmare and an absolute frenzy. Some employees seemed helpful but self checkout is run by your typical ABW who for some reason spends time scolding customers about how they don’t listen or pay attention even though they weren’t even properly moving along the queue,06-01-2023,
Tried to call but got no response for more than ten minutes!! How absurd!! You have lost a loyal customer!! I have been going to this Walmart since 2000!! My children and I love this store and it’s a shame how we won’t be able to go back there….Have a good life Walmart (not),07-01-2023,
"one of the best walmart in New York where there are vegetables, fruits and salads! It is simply incomprehensible to the mind that in our century there are supermarkets where there are no healthy vegetables, fruits and salads at all! To the trash of such General Managers!",01-01-2023,
"It is a very attractive and good place to buy. It has a lot of food, homes, kitchen, and supplies that it can take some time to look around and see what you need. Although it is always packed and a lot of people do it may takes some time to walk around and pass through.",05-01-2023,
This based of delivery! My last four deliveries from this store my food came in scented garbage bags! They also mixed raw food with bleach! When I try to call the store I can’t get through. I would not recommend ordering anything for delivery from this store!,04-01-2023,
"Just way too over crowded. Finding parking os like playing musical chairs with cars. When you finally get in, it's as if the store is having a black Friday sale everyday.  I prefer to oder what I need online and leave it at that.",08-01-2023,
Jane at the returns counter is the worst . I was trying to return an item and she said I need to cancel the return on the app which it had no option to . The other guy at the counter completed the return within a couple minutes,02-01-2023,
I go there because I have to. There are boxes all over the aisles waiting to be unpacked making it difficult to push a cart through.  The shelves should be stocked during the off hours. The grocery area is a disaster.,04-01-2023,
Always too crowded. Parking is a nightmare. Half of the young staff do not know where anything is. Not much help there. I don't understand why you have to bring your entire family to Walmart to shop for bread 😕,05-01-2023,
"Horrible Experience, My Father is temporarily disabled due to having 2 Hip Surgeries and they expected him to walk into the building to get an electric Scooter and then walk out the building without the scooter",07-01-2023,
"Есть буквально все, что необходимо. Некоторые товары отсутствуют для покупки в магазине - необходимо заказывать онлайн. Работает с раннего утра и до позднего вечера. Народу всегда много, но закупаться можно.",07-01-2023,
"I love Walmart. It's a bit  crowded, but I rather go here than to a neighborhood Keyfood or any other supermarket. I can buy food, walk down 2 or 3 aisles and get some stuff for my home. Favorite store",07-01-2023,
Return employees all terrible!!! Very rude and disrespectful rai especially Racism!!!! Please coach them to nice with customers!! We’re the one who pay them!! So try to give customers great service!,08-01-2023,
"Crowded as usual, especially on the holidays. If you're patient, you'll get through the lines. Sufficient self check o uts and open cashiers. Once again, patience is the key. Happy shopping.",05-01-2023,
"I really  don't like that popular  Walmart  it always growed, and  people there are mean I think it the customers  .just from everywhere, it may be because that is the only  1 that is close",02-01-2023,
"I chose delivery on the Walmart app, and more than 10 of the more than 30 items were out of stock. They even told me that they didn't have tomatoes and apples, even the most basic things?😰",07-01-2023,
Just too crowded the lines where atleast 30 min on a sat they only had 3 registers open and everything else was self checkout then 10min on exit because the door security was even slower.,05-01-2023,
Awesome bad experience with the new card only system sucks rocks. Causing many upset 😡 consumers to verbally lash out at the store staff members of Walmart..get together  valley stream,02-01-2023,
"The most disgusting place, worst people fighting with each other about anything and everything.  Find a whole bunch of everything but nothing thats needed.  Ugh never going back.",03-01-2023,
"I used to go to a Walmart at White Plains, New York, and they close over 10 years ago. And it's so hard to get to a Walmart. Because you need a car badly. They need more worker",05-01-2023,
This location is like a flea market im sorry to stay it being th only near to queens and Brooklyn so you can imagine the amount of people and don't think of going on a weekend,08-01-2023,
"Walmart in valley stream is great, they carry so many products that I can't find anywhere else. But k recommended shopping there in the early morning before the crowd.",07-01-2023,
"Huge Improvement the area looks neat , the check out are quick and the prices are right. Except for the girl that checks the receipt she doesn't look too happy",07-01-2023,
"I love the Walmart in Valley Stream, NY. It is a lot more organized and I can find all the products I like for my family and my dogs just by making one stop.",07-01-2023,
It's been years since I've been inside Walmart it was everything I remembered it to be and better I'm gonna make it my normal spot to food shop every month,06-01-2023,
Inaccurate Times listed for delivery opening.  Deli was listed at being open at 7 on the website and wasn't going to be open till at 830 in store.,07-01-2023,
Great prices overcrowded though people are super ghetto meaning the customers and it’s just like being in a zoo out of control 🤦🏽‍♀️,07-01-2023,
This place has a great collection compared to other Walmarts and is well stocked. Like the other places it’s difficult to find help.,07-01-2023,
"Se viera mejor si estuviera mas organizado y mejor surtido, de la caja tuve que devolverme porque la carne que tome no tenia precio",08-01-2023,
First and last time.  Not a great experience at all. The only great thing about Walmart is the sweet girl Abigail that works there,01-01-2023,
"Me encanta esta tienda,buenos precios, comida frescas ,solo ten pasiencia los fines de semana la fila es grande para pagar 🤗🙏🏼",02-01-2023,
Very large Shopping Department! It has just about anything you can think of. Clean and crowded. Large Parking lot for Customers.,05-01-2023,
"Muchos productos lo unico malo es la atención, las personas mkrenas son demasiado groseras y el servicio al cliente es pesimo",05-01-2023,
"Can't beat the prices at Walmart, I wish they have stores all around nyc, I have to come here all the time but its worth it.",01-01-2023,
Extremely crowded stores. I saw a lady packing her bag with stuff off the shelves. Back to school supplies isles were empty.,06-01-2023,
Went looking for automobile supplies and ended up having to order them online because shelves in that section were empty.,06-01-2023,
Great selection of merchandise to choose from and cleaned stores and staff were great and professional and knowledgeable,05-01-2023,
Mmene mungapezere Zinthu mmene Mulungu wanga ndi mwana wake kwa anthu amene ali osowa pa intaneti ya mmene mungapezere,07-01-2023,
"Extensive, clean and a lot of variety.You can eat something since there is a Subway.It has its renovated bathrooms.",07-01-2023,
Too full in the parking lot and inside. Extremely under staff and they don't seem to know how to do their job.,03-01-2023,
Great experience. Went in and out quickly. There was a cashier that was very helpful thank you. I Love Walmart,07-01-2023,
"I just love Walmart..the workers are so helpful, the store is always clean.. Love the prices..yeah Walmart...",05-01-2023,
Website for online purchasing is a little complicated when checking out. Curbside pickup was easy and smooth.,05-01-2023,
The service was very bad and very slow they talk with the people and spend time with our seeing the costumers,07-01-2023,
"Terrific, I found everything I needed to get. Service was great and at checkout was helpful and friendly 😀",07-01-2023,
"Very unorganized, mallets blocking aisles, products not on shelves, and only using two cashier's machines.",07-01-2023,
"Typical Walmart with low stock, misplaced items, and low staffing however this one is much more chaotic.",03-01-2023,
Se encuentra de todo lo que buscas aunque en las tardes es un poco lleno es mejor visitar en las mañanas,05-01-2023,
This was a great Walmart. I never shopped at this location before but I found everything that I needed.,05-01-2023,
"Usually I get everything I need. However, it is always too crowded and lines are just too long to wait.",07-01-2023,
"The guy checking for receipts was very rude. Other than that, I had a great experience at this store.",05-01-2023,
Grossly over crowded and conditions were unkempt. Products out of stock and services not available…,02-01-2023,
"Great prices, but make sure you go early. It gets crowded, and a lot of items get brought quickly.",04-01-2023,
"Customer Service very slow, long line .. only had 1 person attending customers when i was there",05-01-2023,
"Very crowded, long lines, not enough cashiers, not enough floor staff.  My last-resort Walmart.",06-01-2023,
WAY TOO CROWDED FOR A WEEKDAY! NEED TO HIRE MORE ASSOCIATES & PAY THEIR EMPLOYEES MORE MONEY,06-01-2023,
"Love this store! Has a Big selection, pretty well stocked.  Gets crowded but worth the trip.",07-01-2023,
Pretty big store but the lines are crazy. Looks like a lot of people occupied parking lots.,07-01-2023,
Walmart is really good store I’m shopping here since long time everything is available here,07-01-2023,
They need to organize this store a lil more and restock on T shirts for men and boys!,06-01-2023,
The checkout market twice one item had to go cost÷mer service editing patiance.bummer,07-01-2023,
"Jahson works quickly and precisely at the checkout at Walmart, Green Acres.👍🏿👍🏾",05-01-2023,
"This walmart is always extra packed, but they have more than other walmarts near me",08-01-2023,
I went shopping there I bought eyeglasses from there things that I need from there,06-01-2023,
Well-stockedwith a Wide Variety of Products. Good Fresh Produce and Helpful Staff,05-01-2023,
For someone coming from outside the US Walmart is just unbelievable in its scope…,07-01-2023,
"Was out of stock of a lot of items. Some staff were busy, not willing to assist.",05-01-2023,
Has everything as every Walmart does. Crowded as every Walmart is. Great prices.,05-01-2023,
Conseguí todo lo que buscaba me ofrecieron ayuda.y fue rápido la fila para pagar,07-01-2023,
"Great prices, not as spacious as other locations, tons of items. Always crowded",05-01-2023,
"So-so, it was crowded. There wasn't any sales that were overwhelming great.",05-01-2023,
Yo siempre eh dicho q esa super tienda es una de las mejores 👏 👏 👏 👏 👏,05-01-2023,
"Everything you need for a cheaper price, expect long lines on the weeekends",07-01-2023,
"Very wide verity, but they need to have a better stock replenishing method",03-01-2023,
Its good but it would help if the self check machine wasn't always broken,07-01-2023,
Didn't go inside waited in my car for someone to come back. To congested.,07-01-2023,
It wasn't as bad as I was told. Was able to get what I wanted and left.,02-01-2023,
This walmart is always busy but I can say they always have what I need,06-01-2023,
"Worst store I have ever been to, my foot will never step in it again",08-01-2023,
